#
# Initial mass = 1.000, Z =  0.0300, Y =  0.300, M_mix = 0.00E+00
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/mg26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.476E+02 2.632E+03 4.988E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  2.762E+01 9.237E+02 1.936E+03 5.363E+02 7.901E+00 7.172E+00 4.487E-12 1.969E+01 2.987E+01 4.452E-20 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 2.116E-08 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  2.762E+01 9.238E+02 1.936E+03 5.363E+02 7.901E+00 7.172E+00 6.054E-12 1.969E+01 2.987E+01 2.930E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 2.116E-08 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 4.557E-32 3.852E-01 1.674E-02 5.339E-02
  2.762E+01 9.238E+02 1.936E+03 5.363E+02 7.901E+00 7.172E+00 5.718E-12 1.969E+01 2.987E+01 4.331E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 2.116E-08 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 4.998E-32 3.852E-01 1.674E-02 5.339E-02
  2.762E+01 9.239E+02 1.936E+03 5.363E+02 7.901E+00 7.172E+00 8.243E-12 1.969E+01 2.987E+01 8.133E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 2.116E-08 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 1.863E-31 3.852E-01 1.674E-02 5.339E-02
  2.763E+01 9.238E+02 1.936E+03 5.362E+02 7.901E+00 7.172E+00 1.549E-11 1.969E+01 2.987E+01 1.587E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 2.116E-08 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 8.314E-31 3.852E-01 1.674E-02 5.339E-02
  2.766E+01 9.233E+02 1.937E+03 5.362E+02 7.901E+00 7.172E+00 2.515E-11 1.969E+01 2.987E+01 4.600E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.429E+03 6.235E+02 2.116E-08 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 6.933E-30 3.852E-01 1.674E-02 5.339E-02
