Table 5
Peak Surface Lithium Abundance During the AGB and Stellar Yields from Models with Hot Bottom Burning

Initial Mass	Z	Peak Lithium Abundance	TP at Peak	Mass Li Expelled	Initial Li in Wind	
(M_sun)		log epsilon (Li)		(M_sun)	(M_sun)	
4.75	0.03	3.00	15	1.7599538E-07	6.5591479E-08	
5.00	0.03	4.03	15	2.3315576E-07	6.9651541E-08	
5.50	0.03	4.70	14	1.4348146E-07	7.7758202E-08	
6.00	0.03	4.87	12	1.8557853E-07	8.5831154E-08	
7.00	0.03	5.18	5	2.3292797E-07	1.0173942E-07	
8.00	0.03	5.18	1	5.1344944E-07	1.1707634E-07	


	
4.25	0.014	3.80	19	4.1797335E-08	3.0904165E-08	
4.50	0.014	3.90	19	3.2354016E-08	3.3096789E-08	
4.75	0.014	3.95	18	2.8601756E-08	3.5298505E-08	
5.00	0.014	4.03	15	1.0902397E-08	3.7490221E-08	
5.50	0.014	4.17	13	1.7997854E-09	4.1848171E-08	
6.00	0.014	4.28	10	7.7072976E-10	4.6206125E-08	
7.00	0.014	4.40	5	9.1141705E-10	5.4802843E-08	
8.00	0.014	4.43	1	3.0000244E-08	6.3114797E-08	


	
4.00	0.007	2.91	18	9.1520405E-08	1.4334581E-08	
4.25	0.007	3.36	16	4.0745888E-08	1.5426464E-08	
4.50	0.007	4.01	15	8.2011226E-10	1.6500147E-08	
4.75	0.007	4.03	14	3.9599790E-10	1.7592029E-08	
5.00	0.007	4.06	13	1.9964203E-10	1.8674355E-08	
5.50	0.007	3.62	12	2.1940057E-11	2.0830822E-08	
6.00	0.007	4.42	7	4.0835935E-11	2.2946342E-08	
7.00	0.007	4.46	1	5.8903787E-10	2.7113233E-08	
7.50	0.007	4.20	1	2.2296360E-08	2.9042221E-08	
