# Initial composition Z = 0.001
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000      7.489600E-001      2.262300E-005      2.499800E-001      2.720200E-009      1.084700E-011      1.798200E-004      2.179000E-006      4.851100E-005      1.193000E-007      4.399700E-004      1.775900E-007      9.922900E-007      3.305100E-008      9.341600E-005      2.351300E-007      7.555700E-006      2.355100E-006      3.452800E-005      4.553300E-006      5.213700E-006      0.000000E+000      3.816300E-006      4.774800E-005      2.236200E-006      4.281200E-007      2.221800E-005      5.372600E-007      4.808000E-006      2.414200E-007      4.400100E-006      3.187600E-009      2.402200E-007      2.440900E-008      1.165600E-006      6.463200E-007      8.860900E-005      2.349300E-007      5.002100E-006      4.939400E-008      1.247600E-007
# winds ejecta
           Min          Mfin          M_HE          M_CO                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.39375E+001  4.94049E+000  2.83433E+000      4.594328E-002      3.447984E-006      1.651991E-002      4.660326E-011      2.103622E-016      7.608388E-006      3.372145E-007      8.709494E-006      4.154107E-009      2.563576E-005      2.515846E-008      4.568589E-008      1.914636E-009      5.772548E-006      1.734051E-008      4.260942E-007      2.724254E-007      2.159605E-006      2.654574E-007      3.315052E-007      4.398659E-011      2.533260E-007      2.986163E-006      0.000000E+000      0.000000E+000      1.389399E-006      0.000000E+000      3.006730E-007      0.000000E+000      2.751651E-007      0.000000E+000      1.502268E-008      0.000000E+000      7.289311E-008      0.000000E+000      5.541218E-006      0.000000E+000      3.128095E-007      0.000000E+000      7.801778E-009
  1.60000E+001  1.59154E+001  5.79909E+000  3.50852E+000      6.313982E-002      7.034100E-006      2.134342E-002      2.102260E-010      3.184544E-016      1.476921E-005      2.075245E-007      4.896406E-006      9.697781E-009      3.686254E-005      1.591932E-008      8.190730E-008      2.765294E-009      7.885573E-006      2.011093E-008      6.315461E-007      2.241614E-007      2.920351E-006      3.815344E-007      4.408811E-007      4.365440E-011      3.265016E-007      4.038434E-006      0.000000E+000      0.000000E+000      1.879084E-006      0.000000E+000      4.066435E-007      0.000000E+000      3.721455E-007      0.000000E+000      2.031733E-008      0.000000E+000      9.858386E-008      0.000000E+000      7.494189E-006      0.000000E+000      4.230575E-007      0.000000E+000      1.055147E-008
  1.80000E+001  1.78750E+001  6.70178E+000  4.19577E+000      9.335168E-002      1.048589E-005      3.151705E-002      2.967415E-010      4.704791E-016      2.200577E-005      2.984811E-007      6.971915E-006      1.448659E-008      5.456145E-005      2.276755E-008      1.218652E-007      4.092652E-009      1.165768E-005      2.952874E-008      9.357077E-007      3.261754E-007      4.316395E-006      5.647570E-007      6.509547E-007      6.507606E-011      4.823475E-007      5.968934E-006      0.000000E+000      0.000000E+000      2.777338E-006      0.000000E+000      6.010304E-007      0.000000E+000      5.500414E-007      0.000000E+000      3.002958E-008      0.000000E+000      1.457097E-007      0.000000E+000      1.107662E-005      0.000000E+000      6.252907E-007      0.000000E+000      1.559537E-008
  2.00000E+001  1.98242E+001  7.61648E+000  4.92903E+000      1.313486E-001      1.484982E-005      4.428978E-002      3.565344E-010      3.829760E-015      3.114492E-005      4.108651E-007      9.524292E-006      2.054168E-008      7.682241E-005      3.137509E-008      1.722762E-007      5.764741E-009      1.640117E-005      4.138953E-008      1.318483E-006      4.522508E-007      6.071409E-006      7.951863E-007      9.151691E-007      2.597024E-010      6.778559E-007      8.395814E-006      0.000000E+000      0.000000E+000      3.906555E-006      0.000000E+000      8.453988E-007      0.000000E+000      7.736786E-007      0.000000E+000      4.223908E-008      0.000000E+000      2.049527E-007      0.000000E+000      1.558018E-005      0.000000E+000      8.795230E-007      0.000000E+000      2.193617E-008
  2.20000E+001  2.17802E+001  8.50517E+000  5.72601E+000      1.643605E-001      1.873651E-005      5.524306E-002      3.992088E-010      1.747369E-015      3.923500E-005      4.939700E-007      1.142508E-005      2.596110E-008      9.623500E-005      3.894629E-008      2.166678E-007      7.223685E-009      2.051636E-005      5.157962E-008      1.652476E-006      5.502504E-007      7.591094E-006      9.960041E-007      1.144438E-006      5.925797E-010      8.452297E-007      1.049735E-005      0.000000E+000      0.000000E+000      4.884412E-006      0.000000E+000      1.057012E-006      0.000000E+000      9.673393E-007      0.000000E+000      5.281202E-008      0.000000E+000      2.562547E-007      0.000000E+000      1.948008E-005      0.000000E+000      1.099678E-006      0.000000E+000      2.742705E-008
  2.40000E+001  2.36954E+001  9.51921E+000  6.62161E+000      2.277631E-001      2.599082E-005      7.646439E-002      4.617394E-010      2.722552E-015      5.443557E-005      6.854811E-007      1.562021E-005      3.600073E-008      1.334454E-004      5.395896E-008      3.005968E-007      1.001979E-008      2.842708E-005      7.142365E-008      2.291718E-006      7.542101E-007      1.051629E-005      1.381073E-006      1.585495E-006      6.024613E-010      1.169790E-006      1.454245E-005      0.000000E+000      0.000000E+000      6.766605E-006      0.000000E+000      1.464328E-006      0.000000E+000      1.340101E-006      0.000000E+000      7.316297E-008      0.000000E+000      3.550017E-007      0.000000E+000      2.698667E-005      0.000000E+000      1.523435E-006      0.000000E+000      3.799599E-008
  2.60000E+001  2.56336E+001  1.06297E+001  7.57496E+000      2.739594E-001      3.117903E-005      9.208114E-002      5.048195E-010      5.390289E-015      6.535162E-005      8.394532E-007      1.902857E-005      4.316484E-008      1.604659E-004      6.500175E-008      3.611303E-007      1.204911E-008      3.419735E-005      8.590480E-008      2.755690E-006      9.155383E-007      1.265320E-005      1.660721E-006      1.906849E-006      6.026628E-010      1.409296E-006      1.749729E-005      0.000000E+000      0.000000E+000      8.141456E-006      0.000000E+000      1.761853E-006      0.000000E+000      1.612385E-006      0.000000E+000      8.802836E-008      0.000000E+000      4.271316E-007      0.000000E+000      3.246987E-005      0.000000E+000      1.832970E-006      0.000000E+000      4.571608E-008
  2.80000E+001  2.75718E+001  1.15645E+001  8.46390E+000      3.204719E-001      3.671637E-005      1.072167E-001      5.474858E-010      5.430481E-015      7.682496E-005      9.428715E-007      2.122855E-005      5.087375E-008      1.880593E-004      7.595545E-008      4.239820E-007      1.412382E-008      3.998304E-005      1.005230E-007      3.229854E-006      1.028914E-006      1.478359E-005      1.946260E-006      2.230351E-006      4.592309E-010      1.638651E-006      2.044379E-005      0.000000E+000      0.000000E+000      9.512576E-006      0.000000E+000      2.058571E-006      0.000000E+000      1.883930E-006      0.000000E+000      1.028534E-007      0.000000E+000      4.990658E-007      0.000000E+000      3.793819E-005      0.000000E+000      2.141664E-006      0.000000E+000      5.341522E-008
  3.00000E+001  2.94671E+001  1.26100E+001  9.43344E+000      3.990497E-001      4.577484E-005      1.332855E-001      5.751562E-010      3.674928E-015      9.575783E-005      1.169855E-006      2.601967E-005      6.341972E-008      2.343564E-004      9.462333E-008      5.284660E-007      1.760337E-008      4.977760E-005      1.252523E-007      4.024743E-006      1.262550E-006      1.840042E-005      2.425375E-006      2.777757E-006      1.108169E-010      2.035447E-006      2.544578E-005      0.000000E+000      0.000000E+000      1.184008E-005      0.000000E+000      2.562255E-006      0.000000E+000      2.344884E-006      0.000000E+000      1.280192E-007      0.000000E+000      6.211756E-007      0.000000E+000      4.722079E-005      0.000000E+000      2.665680E-006      0.000000E+000      6.648469E-008
  3.50000E+001  3.41498E+001  1.54179E+001  1.19613E+001      6.366746E-001      7.296646E-005      2.126299E-001      6.354342E-010      5.009415E-015      1.527500E-004      1.885052E-006      4.150657E-005      1.010077E-007      3.739171E-004      1.509908E-007      8.431041E-007      2.808732E-008      7.941749E-005      1.998503E-007      6.421430E-006      2.013223E-006      2.935658E-005      3.869694E-006      4.432047E-006      3.051461E-011      3.247069E-006      4.059699E-005      0.000000E+000      0.000000E+000      1.889004E-005      0.000000E+000      4.087903E-006      0.000000E+000      3.741102E-006      0.000000E+000      2.042459E-007      0.000000E+000      9.910432E-007      0.000000E+000      7.533754E-005      0.000000E+000      4.252909E-006      0.000000E+000      1.060718E-007
