# Initial composition Z = 0.03
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000          SN      6.679800E-001      2.732900E-005      3.019700E-001      1.088100E-008      3.254100E-010      5.394500E-003      6.536900E-005      1.455300E-003      3.579000E-006      1.319900E-002      5.327800E-006      2.976900E-005      9.915400E-007      2.802500E-003      7.053900E-006      2.266700E-004      7.065300E-005      1.035800E-003      1.366000E-004      1.564100E-004      0.000000E+000      1.144900E-004      1.432400E-003      6.708500E-005      1.284400E-005      6.665300E-004      1.611800E-005      1.442400E-004      7.242500E-006      1.320000E-004      9.562700E-008      7.206700E-006      7.322600E-007      3.496900E-005      1.939000E-005      2.658300E-003      7.047800E-006      1.500600E-004      1.481800E-006      3.742700E-006
# total ejecta
           Min          Mfin          M_HE          M_CO          Mrem          Mbar         SNT                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.25589E+001  4.67028E+000  2.74197E+000  1.49335E+000  1.66060E+000        CCSN      6.037953E+000      2.918359E-004      4.739043E+000      1.587131E-009      2.716555E-013      2.274378E-001      2.420971E-003      6.634197E-002      1.383720E-005      6.755496E-001      8.073277E-005      3.785036E-003      8.207260E-006      1.301798E-001      2.047233E-004      1.407057E-002      3.805455E-003      5.502706E-002      5.252803E-003      7.165245E-003      2.214386E-006      5.098865E-003      1.413411E-001      3.448547E-003      0.000000E+000      6.809406E-002      2.142272E-004      1.198758E-002      8.146854E-005      8.845166E-003      2.784910E-006      2.300769E-004      2.962870E-005      2.453455E-003      1.204127E-003      1.149706E-001      2.666510E-004      6.405638E-003      6.414680E-005      8.109093E-005
  1.60000E+001  1.39752E+001  5.59039E+000  3.50059E+000  1.48661E+000  1.65236E+000        CCSN      6.680043E+000      3.150162E-004      5.301250E+000      1.983598E-009      2.450812E-012      2.804130E-001      2.162111E-003      7.630457E-002      1.765742E-005      1.073715E+000      9.026417E-005      4.940890E-003      9.965850E-006      3.623509E-001      3.883508E-004      2.359756E-002      9.331883E-003      1.018377E-001      1.248589E-002      1.387128E-002      3.157998E-006      1.305936E-002      1.540125E-001      4.424693E-003      0.000000E+000      7.080002E-002      2.526182E-004      1.233523E-002      9.753039E-005      9.066425E-003      4.672382E-006      2.347740E-004      3.029210E-005      2.379721E-003      1.180753E-003      1.195864E-001      4.243112E-004      7.137187E-003      1.318956E-004      1.187780E-004
  1.80000E+001  1.51613E+001  6.50796E+000  4.28668E+000  1.49874E+000  1.66721E+000        CCSN      7.006280E+000      3.455216E-004      6.137522E+000      2.179450E-009      1.893182E-011      3.506120E-001      2.287059E-003      8.382628E-002      2.229879E-005      1.503789E+000      8.859490E-005      5.169961E-003      1.155768E-005      5.639899E-001      5.643735E-004      2.942049E-002      1.486609E-002      1.379969E-001      1.880446E-002      2.050604E-002      3.585215E-006      2.063204E-002      1.738330E-001      5.298937E-003      0.000000E+000      7.957310E-002      3.220118E-004      1.406074E-002      1.372304E-004      1.014671E-002      7.214352E-006      2.564920E-004      3.251847E-005      2.449573E-003      1.224950E-003      1.228892E-001      5.898276E-004      9.081090E-003      2.227271E-004      1.952451E-004
  2.00000E+001  1.62453E+001  7.34563E+000  5.03096E+000  1.56524E+000  1.74899E+000        CCSN      7.768122E+000      4.144538E-004      6.530731E+000      2.539844E-009      1.271660E-010      4.683919E-001      1.451746E-003      9.488807E-002      2.655724E-005      1.964779E+000      1.066635E-004      3.799188E-003      1.350636E-005      6.432003E-001      7.398349E-004      3.308432E-002      1.981354E-002      1.367961E-001      2.143204E-002      2.591087E-002      7.460215E-006      2.588197E-002      2.087913E-001      5.732947E-003      0.000000E+000      1.025034E-001      4.772912E-004      1.886223E-002      2.480141E-004      1.277449E-002      1.135353E-005      3.249589E-004      3.435030E-005      2.423394E-003      1.191444E-003      1.320078E-001      7.785931E-004      8.887170E-003      3.514512E-004      2.508392E-004
  2.20000E+001  1.70900E+001  8.19455E+000  5.82964E+000  1.63570E+000  1.83637E+000        CCSN      8.260346E+000      4.240583E-004      7.109010E+000      2.847996E-009      2.759251E-010      6.190529E-001      2.068529E-003      8.916079E-002      2.416955E-005      2.462697E+000      1.121953E-004      3.607722E-003      1.954456E-005      7.282400E-001      9.065723E-004      5.060611E-002      2.501267E-002      1.354997E-001      2.426891E-002      3.168204E-002      8.774322E-006      3.151448E-002      2.534101E-001      6.199719E-003      0.000000E+000      1.328455E-001      6.389084E-004      2.570401E-002      3.521052E-004      1.741952E-002      1.582635E-005      3.583799E-004      4.533426E-005      3.361084E-003      1.728865E-003      1.343222E-001      8.485563E-004      6.936273E-003      4.904644E-004      3.072478E-004
  2.40000E+001  1.76940E+001  9.09477E+000  6.63320E+000  1.61219E+000  1.80712E+000        CCSN      9.081477E+000      5.229982E-004      7.493929E+000      3.281591E-009      5.038291E-010      6.139932E-001      2.150527E-003      9.160133E-002      2.918484E-005      3.044264E+000      1.090828E-004      2.499610E-003      1.980759E-005      9.602273E-001      9.684080E-004      4.528120E-002      3.111589E-002      1.724734E-001      2.773932E-002      4.025672E-002      9.283314E-006      4.226206E-002      2.327570E-001      7.077983E-003      0.000000E+000      1.151319E-001      6.151089E-004      2.159882E-002      2.820681E-004      1.520743E-002      1.694964E-005      3.712702E-004      4.041537E-005      3.206103E-003      1.524676E-003      1.344256E-001      9.607275E-004      8.002904E-003      5.753091E-004      4.362781E-004
  2.60000E+001  1.70139E+001  1.01272E+001  7.54702E+000  1.65139E+001  1.70139E+001         FSN      5.404130E+000      3.297301E-004      3.312566E+000      3.470940E-009      4.337823E-010      3.321814E-002      1.212083E-003      5.241755E-002      1.812002E-005      9.342090E-002      4.832891E-005      1.852991E-004      6.728138E-006      2.513391E-002      1.110415E-004      1.541071E-003      1.172717E-003      9.312628E-003      1.035062E-003      1.595586E-003      4.684359E-006      1.036004E-003      1.287806E-002      0.000000E+000      0.000000E+000      5.992236E-003      0.000000E+000      1.296769E-003      0.000000E+000      1.186736E-003      0.000000E+000      6.479101E-005      0.000000E+000      3.143778E-004      0.000000E+000      2.389840E-002      0.000000E+000      1.349095E-003      0.000000E+000      3.364795E-005
  2.80000E+001  1.20694E+001  1.18176E+001  8.95879E+000  1.15694E+001  1.20694E+001         FSN      9.277223E+000      4.603037E-004      6.176769E+000      3.498592E-009      2.905577E-010      4.922662E-002      3.108952E-003      1.210041E-001      2.366860E-005      1.453526E-001      7.881058E-005      2.860043E-004      1.003565E-005      4.452741E-002      2.276203E-004      2.303229E-003      2.535926E-003      1.651168E-002      1.696084E-003      2.967446E-003      1.082758E-005      1.840745E-003      2.283375E-002      0.000000E+000      0.000000E+000      1.062466E-002      0.000000E+000      2.299231E-003      0.000000E+000      2.104173E-003      0.000000E+000      1.148776E-004      0.000000E+000      5.574098E-004      0.000000E+000      4.237341E-002      0.000000E+000      2.392038E-003      0.000000E+000      5.965981E-005
  3.00000E+001  7.99594E+000  7.99594E+000  6.39611E+000  7.49594E+000  7.99594E+000         FSN      1.016649E+001      5.529172E-004      9.523326E+000      3.715707E-009      4.500452E-009      1.115787E+000      3.396456E-003      1.687684E-001      2.956406E-005      7.461735E-001      8.543509E-005      3.363258E-004      1.239759E-005      6.125192E-002      2.322014E-004      6.263924E-002      4.387977E-003      2.282948E-002      2.806262E-003      4.730080E-003      5.331144E-005      2.642221E-003      3.156738E-002      0.000000E+000      0.000000E+000      1.468824E-002      0.000000E+000      3.178610E-003      0.000000E+000      2.908949E-003      0.000000E+000      1.588145E-004      0.000000E+000      7.706005E-004      0.000000E+000      5.857983E-002      0.000000E+000      3.306913E-003      0.000000E+000      8.247770E-005
  3.50000E+001  4.79497E+000  4.79497E+000  3.80262E+000  1.48392E+000  1.64907E+000        CCSN      1.140982E+001      6.282439E-004      1.541917E+001      4.391227E-009      4.000519E-011      2.985460E+000      2.834695E-003      2.267349E-001      3.538480E-005      1.856731E+000      9.705059E-005      2.717434E-003      1.561513E-005      5.062827E-001      6.110747E-004      2.171934E-001      1.718372E-002      1.399704E-001      1.649672E-002      2.113162E-002      1.304666E-004      1.864079E-002      1.860525E-001      4.770989E-003      0.000000E+000      8.431074E-002      2.615334E-004      1.516682E-002      9.833585E-005      1.164183E-002      5.356253E-006      3.724818E-004      3.005139E-005      3.006126E-003      1.150993E-003      1.714900E-001      4.799706E-004      1.025899E-002      1.578743E-004      2.035454E-004
