# Initial composition Z = 0.00000000001
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000          SN      7.514600E-001      2.248800E-005      2.484800E-001      2.720200E-009      1.084700E-019      1.798200E-012      2.179000E-014      4.851100E-013      1.193000E-015      4.399700E-012      1.775900E-015      9.922900E-015      3.305100E-016      9.341600E-013      2.351300E-015      7.555700E-014      2.355100E-014      3.452800E-013      4.553300E-014      5.213700E-014      0.000000E+000      3.816300E-014      4.774800E-013      2.236200E-014      4.281200E-015      2.221800E-013      5.372600E-015      4.808000E-014      2.414200E-015      4.400100E-014      3.187600E-017      2.402200E-015      2.440900E-016      1.165600E-014      6.463200E-015      8.860900E-013      2.349300E-015      5.002100E-014      4.939400E-016      1.247600E-015
# total ejecta
           Min          Mfin          M_HE          M_CO          Mrem          Mbar         SNT                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.40000E+001  3.84314E+000  2.78639E+000  1.49550E+000  1.66324E+000        CCSN      6.795588E+000      5.591895E-005      4.344147E+000      1.937454E-013      2.684888E-011      1.824630E-001      6.010756E-008      2.390463E-005      5.216009E-009      5.713624E-001      1.868346E-007      5.704454E-006      3.547659E-009      1.056894E-001      8.941249E-006      7.995432E-005      4.044601E-004      7.048280E-002      2.338062E-004      3.608299E-004      1.456891E-015      8.902178E-004      1.133429E-001      6.645258E-004      0.000000E+000      4.889747E-002      5.467183E-005      8.925820E-003      1.904607E-005      7.524593E-003      7.046550E-008      1.510771E-004      8.152996E-006      1.746252E-003      3.930557E-004      7.849095E-002      2.002830E-005      1.917791E-003      1.304614E-005      4.995876E-005
  1.60000E+001  1.60000E+001  4.60993E+000  3.42571E+000  1.46074E+000  1.62078E+000        CCSN      7.632949E+000      5.675277E-005      4.834987E+000      1.473188E-014      7.211619E-011      2.124632E-001      1.836900E-007      3.302630E-005      5.875575E-009      9.979905E-001      3.238891E-007      3.834514E-006      5.426920E-009      3.072263E-001      1.988978E-005      9.157443E-005      1.147763E-003      1.226636E-001      4.534698E-004      7.823203E-004      1.440542E-014      1.982868E-003      1.121795E-001      6.980371E-004      0.000000E+000      4.672414E-002      4.479111E-005      8.692600E-003      1.728352E-005      7.556969E-003      6.940775E-008      1.516104E-004      1.008308E-005      1.726403E-003      4.712722E-004      7.943444E-002      4.569499E-005      2.421625E-003      7.910626E-006      4.082374E-005
  1.80000E+001  1.80000E+001  5.62532E+000  4.22466E+000  1.46122E+000  1.62135E+000        CCSN      8.190382E+000      5.839199E-005      5.438122E+000      6.525110E-015      5.239457E-011      2.927813E-001      3.174602E-011      4.509733E-006      1.135489E-008      1.488528E+000      5.596377E-007      4.925599E-006      1.590104E-008      5.132735E-001      3.219977E-005      1.759792E-004      1.972527E-003      1.665826E-001      6.108027E-004      1.083484E-003      4.129716E-015      2.831907E-003      1.184556E-001      7.005839E-004      0.000000E+000      4.927266E-002      3.720874E-005      9.380716E-003      1.599752E-005      8.290366E-003      7.501262E-008      1.421895E-004      1.171033E-005      1.789410E-003      5.370980E-004      8.042588E-002      5.963392E-005      2.990530E-003      8.697735E-006      4.368424E-005
  2.00000E+001  2.00000E+001  6.72586E+000  4.97336E+000  1.56980E+000  1.75462E+000        CCSN      8.965153E+000      6.002677E-005      5.891121E+000      1.643065E-012      3.753779E-009      3.812909E-001      1.131584E-005      2.618375E-004      3.165509E-008      1.926452E+000      1.172924E-006      3.255019E-006      1.283446E-006      5.930838E-001      4.143933E-005      1.823277E-004      2.491747E-003      1.550572E-001      4.698944E-004      8.117336E-004      1.246215E-013      2.348790E-003      1.247726E-001      6.056568E-004      0.000000E+000      5.346723E-002      4.267044E-005      1.025951E-002      1.943771E-005      8.970418E-003      9.296821E-008      1.673001E-004      7.388139E-006      1.784764E-003      3.666913E-004      1.082677E-001      1.401144E-005      2.959157E-003      3.188748E-005      1.223540E-004
  2.20000E+001  2.20000E+001  7.43305E+000  5.84459E+000  1.68152E+000  1.89358E+000        CCSN      9.446062E+000      6.170013E-005      6.523968E+000      2.509776E-015      4.161693E-011      4.875267E-001      1.232887E-010      2.206632E-005      4.360658E-008      2.431994E+000      1.378929E-006      1.751234E-006      2.531097E-008      6.941255E-001      5.229430E-005      2.252241E-004      3.099860E-003      1.467015E-001      3.290909E-004      5.429378E-004      2.228596E-013      1.896896E-003      1.708477E-001      5.155473E-004      0.000000E+000      8.222956E-002      4.956747E-005      1.626333E-002      2.563638E-005      1.417873E-002      1.296717E-007      1.710159E-004      1.280863E-005      3.014427E-003      6.389491E-004      7.818442E-002      7.942085E-006      5.611187E-004      9.485979E-007      2.469329E-006
  2.40000E+001  2.40000E+001  8.41456E+000  6.71851E+000  1.67358E+000  1.88364E+000        CCSN      9.987826E+000      6.309632E-005      7.097751E+000      2.020066E-015      3.517585E-011      5.074813E-001      9.554817E-008      3.208502E-005      3.443621E-008      3.092418E+000      1.466506E-006      1.356344E-006      2.450864E-008      8.713859E-001      6.651831E-005      2.229394E-004      3.771723E-003      1.851926E-001      4.059029E-004      7.224404E-004      5.654015E-013      2.470241E-003      1.698925E-001      6.250774E-004      0.000000E+000      7.846504E-002      4.845709E-005      1.546975E-002      2.199677E-005      1.389261E-002      1.226719E-007      1.609765E-004      1.016349E-005      2.807133E-003      5.380880E-004      7.751220E-002      8.973102E-006      6.197900E-004      2.042710E-006      5.546825E-006
  2.60000E+001  2.60000E+001  9.41649E+000  7.66816E+000  2.55000E+001  2.60000E+001         FSN      2.058531E-008      2.352445E-012      6.806945E-009      2.768926E-019      8.880269E-027      4.925970E-020      5.969231E-022      1.328954E-020      3.268166E-023      1.205282E-019      4.865091E-023      2.718350E-022      9.054322E-024      2.559083E-020      6.441273E-023      2.069862E-021      6.451689E-022      9.458710E-021      1.247351E-021      1.428267E-021      0.000000E+000      1.045455E-021      1.308045E-020      0.000000E+000      0.000000E+000      6.086428E-021      0.000000E+000      1.317135E-021      0.000000E+000      1.205394E-021      0.000000E+000      6.580865E-023      0.000000E+000      3.193171E-022      0.000000E+000      2.427398E-020      0.000000E+000      1.370300E-021      0.000000E+000      3.417664E-023
  2.80000E+001  2.80000E+001  1.11776E+001  8.73387E+000  2.75000E+001  2.80000E+001         FSN      2.446108E-008      2.795264E-012      8.088547E-009      3.258710E-019      1.407312E-026      5.853425E-020      7.093110E-022      1.579167E-020      3.883492E-023      1.432210E-019      5.781084E-023      3.230158E-022      1.075906E-023      3.040904E-020      7.654027E-023      2.459572E-021      7.666403E-022      1.123958E-020      1.482200E-021      1.697179E-021      0.000000E+000      1.242292E-021      1.554322E-020      0.000000E+000      0.000000E+000      7.232372E-021      0.000000E+000      1.565123E-021      0.000000E+000      1.432344E-021      0.000000E+000      7.819901E-023      0.000000E+000      3.794376E-022      0.000000E+000      2.884425E-020      0.000000E+000      1.628298E-021      0.000000E+000      4.061137E-023
  3.00000E+001  3.00000E+001  1.20832E+001  9.79984E+000  2.95000E+001  3.00000E+001         FSN      2.857121E-008      3.264840E-012      9.447640E-009      3.777672E-019      2.144617E-026      6.836958E-020      8.284943E-022      1.844510E-020      4.536023E-023      1.672860E-019      6.752462E-023      3.772911E-022      1.256687E-023      3.551858E-020      8.940110E-023      2.872847E-021      8.954566E-022      1.312814E-020      1.731250E-021      1.982350E-021      0.000000E+000      1.451031E-021      1.815489E-020      0.000000E+000      0.000000E+000      8.447605E-021      0.000000E+000      1.828106E-021      0.000000E+000      1.673016E-021      0.000000E+000      9.133855E-023      0.000000E+000      4.431934E-022      0.000000E+000      3.369086E-020      0.000000E+000      1.901896E-021      0.000000E+000      4.743518E-023
  3.50000E+001  3.50000E+001  1.41840E+001  1.24647E+001  3.45000E+001  3.50000E+001         FSN      3.911345E-008      4.469143E-012      1.293364E-008      5.170969E-019      5.149396E-026      9.359669E-020      1.134193E-021      2.525100E-020      6.209732E-023      2.290115E-019      9.243995E-023      5.165045E-022      1.720381E-023      4.862427E-020      1.223884E-022      3.932874E-021      1.225863E-021      1.797217E-020      2.370049E-021      2.713801E-021      0.000000E+000      1.986434E-021      2.485371E-020      0.000000E+000      0.000000E+000      1.156462E-020      0.000000E+000      2.502643E-021      0.000000E+000      2.290328E-021      0.000000E+000      1.250408E-022      0.000000E+000      6.067235E-022      0.000000E+000      4.612217E-020      0.000000E+000      2.603661E-021      0.000000E+000      6.493787E-023
