# Initial composition Z = 0.00000000001
# 0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000      7.514600E-001      2.248800E-005      2.484800E-001      2.720200E-009      1.084700E-019      1.798200E-012      2.179000E-014      4.851100E-013      1.193000E-015      4.399700E-012      1.775900E-015      9.922900E-015      3.305100E-016      9.341600E-013      2.351300E-015      7.555700E-014      2.355100E-014      3.452800E-013      4.553300E-014      5.213700E-014      0.000000E+000      3.816300E-014      4.774800E-013      2.236200E-014      4.281200E-015      2.221800E-013      5.372600E-015      4.808000E-014      2.414200E-015      4.400100E-014      3.187600E-017      2.402200E-015      2.440900E-016      1.165600E-014      6.463200E-015      8.860900E-013      2.349300E-015      5.002100E-014      4.939400E-016      1.247600E-015
# winds ejecta
           Min          Mfin          M_HE          M_CO                  H                HE3                HE4                LI7                BE7                C12                C13                N14                N15                O16                O17                O18                F19               NE20               NE21               NE22               NA23               MG24               MG25               MG26               AL26               AL27               SI28               SI29                  P                  S                 CL                 AR                  K                 CA                 SC                 TI                  V                 CR                 MN                 FE                 CO                 NI                 CU                 ZN
  1.40000E+001  1.40000E+001  3.84314E+000  2.78639E+000      3.702370E-009      4.232036E-013      1.224263E-009      5.955374E-020      4.986465E-029      8.859602E-021      1.073596E-022      2.390189E-021      5.877959E-024      2.167759E-020      8.750108E-024      4.889088E-023      1.628465E-024      4.602638E-021      1.158495E-023      3.722749E-022      1.160368E-022      1.701196E-021      2.243422E-022      2.568808E-022      0.000000E+000      1.880303E-022      2.352583E-021      0.000000E+000      0.000000E+000      1.094674E-021      0.000000E+000      2.368932E-022      0.000000E+000      2.167961E-022      0.000000E+000      1.183601E-023      0.000000E+000      5.743076E-023      0.000000E+000      4.365796E-021      0.000000E+000      2.464553E-022      0.000000E+000      6.146838E-024
  1.60000E+001  1.60000E+001  4.60993E+000  3.42571E+000      5.356385E-009      6.122357E-013      1.771196E-009      8.439968E-020      2.211762E-028      1.281758E-020      1.553219E-022      3.457994E-021      8.503907E-024      3.136194E-020      1.265917E-023      7.073263E-023      2.355973E-024      6.658843E-021      1.676047E-023      5.385867E-022      1.678757E-022      2.461196E-021      3.245659E-022      3.716410E-022      0.000000E+000      2.720319E-022      3.403588E-021      0.000000E+000      0.000000E+000      1.583714E-021      0.000000E+000      3.427240E-022      0.000000E+000      3.136487E-022      0.000000E+000      1.712369E-023      0.000000E+000      8.308765E-023      0.000000E+000      6.316193E-021      0.000000E+000      3.565579E-022      0.000000E+000      8.892907E-024
  1.80000E+001  1.80000E+001  5.62532E+000  4.22466E+000      7.914468E-009      9.045952E-013      2.617077E-009      1.143684E-019      6.261076E-028      1.893896E-020      2.295000E-022      5.109450E-021      1.256517E-023      4.633966E-020      1.870490E-023      1.045129E-022      3.481130E-024      9.838949E-021      2.476487E-023      7.958031E-022      2.480491E-022      3.636606E-021      4.795709E-022      5.491280E-022      0.000000E+000      4.019479E-022      5.029061E-021      0.000000E+000      0.000000E+000      2.340059E-021      0.000000E+000      5.064009E-022      0.000000E+000      4.634399E-022      0.000000E+000      2.530156E-023      0.000000E+000      1.227684E-022      0.000000E+000      9.332658E-021      0.000000E+000      5.268415E-022      0.000000E+000      1.313995E-023
  2.00000E+001  2.00000E+001  6.72586E+000  4.97336E+000      1.026803E-008      1.173536E-012      3.395331E-009      1.491418E-019      1.476289E-027      2.457093E-020      2.977476E-022      6.628873E-021      1.630174E-023      6.011992E-020      2.426727E-023      1.355924E-022      4.516331E-024      1.276481E-020      3.212932E-023      1.032455E-021      3.218128E-022      4.718042E-021      6.221834E-022      7.124250E-022      0.000000E+000      5.214772E-022      6.524579E-021      0.000000E+000      0.000000E+000      3.035934E-021      0.000000E+000      6.569919E-022      0.000000E+000      6.012553E-022      0.000000E+000      3.282561E-023      0.000000E+000      1.592766E-022      0.000000E+000      1.210796E-020      0.000000E+000      6.835111E-022      0.000000E+000      1.704744E-023
  2.20000E+001  2.20000E+001  7.43305E+000  5.84459E+000      1.364698E-008      1.559669E-012      4.512648E-009      1.881072E-019      2.966084E-027      3.265660E-020      3.957288E-022      8.810267E-021      2.166623E-023      7.990385E-020      3.225301E-023      1.802124E-022      6.002541E-024      1.696538E-020      4.270227E-023      1.372210E-021      4.277132E-022      6.270629E-021      8.269281E-022      9.468659E-022      0.000000E+000      6.930821E-022      8.671652E-021      0.000000E+000      0.000000E+000      4.034983E-021      0.000000E+000      8.731912E-022      0.000000E+000      7.991132E-022      0.000000E+000      4.362769E-023      0.000000E+000      2.116905E-022      0.000000E+000      1.609238E-020      0.000000E+000      9.084372E-022      0.000000E+000      2.265732E-023
  2.40000E+001  2.40000E+001  8.41456E+000  6.71851E+000      1.702419E-008      1.945563E-012      5.629388E-009      2.307910E-019      5.344863E-027      4.073810E-020      4.936593E-022      1.099053E-020      2.702795E-023      9.967758E-020      4.023463E-023      2.248094E-022      7.487984E-024      2.116379E-020      5.326975E-023      1.711789E-021      5.335589E-022      7.822416E-021      1.031567E-021      1.181186E-021      0.000000E+000      8.645985E-022      1.081762E-020      0.000000E+000      0.000000E+000      5.033516E-021      0.000000E+000      1.089279E-021      0.000000E+000      9.968689E-022      0.000000E+000      5.442419E-023      0.000000E+000      2.640773E-022      0.000000E+000      2.007474E-020      0.000000E+000      1.133247E-021      0.000000E+000      2.826431E-023
  2.60000E+001  2.60000E+001  9.41649E+000  7.66816E+000      2.058531E-008      2.352445E-012      6.806945E-009      2.768926E-019      8.880269E-027      4.925970E-020      5.969231E-022      1.328954E-020      3.268166E-023      1.205282E-019      4.865091E-023      2.718350E-022      9.054322E-024      2.559083E-020      6.441273E-023      2.069862E-021      6.451689E-022      9.458710E-021      1.247351E-021      1.428267E-021      0.000000E+000      1.045455E-021      1.308045E-020      0.000000E+000      0.000000E+000      6.086428E-021      0.000000E+000      1.317135E-021      0.000000E+000      1.205394E-021      0.000000E+000      6.580865E-023      0.000000E+000      3.193171E-022      0.000000E+000      2.427398E-020      0.000000E+000      1.370300E-021      0.000000E+000      3.417664E-023
  2.80000E+001  2.80000E+001  1.11776E+001  8.73387E+000      2.446108E-008      2.795264E-012      8.088547E-009      3.258710E-019      1.407312E-026      5.853425E-020      7.093110E-022      1.579167E-020      3.883492E-023      1.432210E-019      5.781084E-023      3.230158E-022      1.075906E-023      3.040904E-020      7.654027E-023      2.459572E-021      7.666403E-022      1.123958E-020      1.482200E-021      1.697179E-021      0.000000E+000      1.242292E-021      1.554322E-020      0.000000E+000      0.000000E+000      7.232372E-021      0.000000E+000      1.565123E-021      0.000000E+000      1.432344E-021      0.000000E+000      7.819901E-023      0.000000E+000      3.794376E-022      0.000000E+000      2.884425E-020      0.000000E+000      1.628298E-021      0.000000E+000      4.061137E-023
  3.00000E+001  3.00000E+001  1.20832E+001  9.79984E+000      2.857121E-008      3.264840E-012      9.447640E-009      3.777672E-019      2.144617E-026      6.836958E-020      8.284943E-022      1.844510E-020      4.536023E-023      1.672860E-019      6.752462E-023      3.772911E-022      1.256687E-023      3.551858E-020      8.940110E-023      2.872847E-021      8.954566E-022      1.312814E-020      1.731250E-021      1.982350E-021      0.000000E+000      1.451031E-021      1.815489E-020      0.000000E+000      0.000000E+000      8.447605E-021      0.000000E+000      1.828106E-021      0.000000E+000      1.673016E-021      0.000000E+000      9.133855E-023      0.000000E+000      4.431934E-022      0.000000E+000      3.369086E-020      0.000000E+000      1.901896E-021      0.000000E+000      4.743518E-023
  3.50000E+001  3.50000E+001  1.41840E+001  1.24647E+001      3.911345E-008      4.469143E-012      1.293364E-008      5.170969E-019      5.149396E-026      9.359669E-020      1.134193E-021      2.525100E-020      6.209732E-023      2.290115E-019      9.243995E-023      5.165045E-022      1.720381E-023      4.862427E-020      1.223884E-022      3.932874E-021      1.225863E-021      1.797217E-020      2.370049E-021      2.713801E-021      0.000000E+000      1.986434E-021      2.485371E-020      0.000000E+000      0.000000E+000      1.156462E-020      0.000000E+000      2.502643E-021      0.000000E+000      2.290328E-021      0.000000E+000      1.250408E-022      0.000000E+000      6.067235E-022      0.000000E+000      4.612217E-020      0.000000E+000      2.603661E-021      0.000000E+000      6.493787E-023
